python-tzdata 2026.3-1
python-urllib3 2.7.0-1
python-wheel 0.48.0-1
python-yaml 6.0.3-2
qca-qt6 2.3.10-7
qcoro 0.13.0-2
qhull 2020.2-5
qqc2-breeze-style 6.7.4-1
qqc2-desktop-style 6.28.0-1
qrcodegencpp-cmake 1.8.0-4
qrencode 4.1.1-4
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-svg 5.15.19+kde+r5-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt5-x11extras 5.15.19-1
qt6-3d 6.11.1-1
qt6-5compat 6.11.1-1
qt6-base 6.11.1-1
qt6-charts 6.11.1-1
qt6-datavis3d 6.11.1-1
qt6-declarative 6.11.1-3
qt6-graphs 6.11.1-1
qt6-imageformats 6.11.1-1
qt6-location 6.11.1-1
qt6-multimedia 6.11.1-2
qt6-multimedia-ffmpeg 6.11.1-2
qt6-networkauth 6.11.1-1
qt6-positioning 6.11.1-1
qt6-quick3d 6.11.1-1
qt6-quicktimeline 6.11.1-1
qt6-shadertools 6.11.1-1
qt6-speech 6.11.1-1
qt6-svg 6.11.1-1
qt6-tools 6.11.1-4
qt6-translations 6.11.1-1
qt6-virtualkeyboard 6.11.1-1
qt6-webchannel 6.11.1-1
qt6-webengine 6.11.1-5
qt6-websockets 6.11.1-1
qt6-webview 6.11.1-1
qtkeychain-qt6 0.17.0-1
rav1e 0.8.1-3
re2 2:2025.11.05-5
readline 8.3.003-1
recode 3.7.15-1
rhash 1.4.6-1
ripgrep 15.2.0-1
ripgrep-all 0.10.10-2
rnnoise 1:0.2-1
robin-map 1.4.1-1
rrdtool 1.11.0-1
rsync 3.5.0-1
rubberband 4.0.0-2
rust 1:1.97.1-1
sbc 2.2-1
sbctl 0.18-2
sddm 0.21.0-7
sddm-kcm 6.7.4-1
sdl2-compat 2.32.70-1
sdl3 3.4.14-1
sdl3_ttf 3.2.2-3
sed 4.10-2
